"252","Mechanical","Dereeler Pig Tail","F03C.B43.401","Prosys","F2460360","-","Pink Ceramic Pig-Tail"
"253","Mechanical","Dereeler Big Felt Wheel","F03C.B42.979","Prosys","42480420","-","Dereeler Big Felt Wheel"
"254","Mechanical","Door Hinge Prosys","F03C.B43.507","Prosys","F5140170","-","Door Hinge Prosys"
"255","Mechanical","Door Lift Cyl. Prosys","F03C.B42.649","Prosys","F409000070","-","Door Lift Cyl. Prosys"
"256","Mechanical","Clevis","F03C.B62.106","Festo","6532 / SG M4","-","Cylinder Rod Clevis"
"300","Tooling","Gripper Insert","F03C.B60.702","-","VY00895UN651-CS","-","For Gripper Bobbin Track to Table"
"301","Tooling","Bobbin Gripper","F03C.B60.458","-","NU2468A02118","-","Bobbin Track to Table"
"302","Tooling","Bobbin Support Flange","F03C.B61.741","-","NU2477A01935","-","White / Delron"
"303","Tooling","Term. Rot. Gripper M","F03C.B59.808","-","NU2468A01985-CS","-","Term. Rot. Gripper Male"
"304","Tooling","Term. Rot. Gripper F","F03C.B59.809","-","NU2468A01986-CS","-","Term. Rot. Gripper Female"
"305","Tooling","Set Screw For Insert","F03C.B60.459","-","VY00895UN634","-","Set Screw For Gripper Insert 1587073"
"306","Tooling","Bobbin Gripper","F03C.B59.805","-","NU2499A00778","-","Bobbin Gripper Table > WPC"
"307","Tooling","Bobbin Gripper","F03C.B59.806","-","NU2477A01733","-","Bobbin Unload Gripper"
"308","Tooling","L Frame At Gripper","F03C.B59.807","-","NU2477A01734","-","Unload Gripper L Frame"
"309","Tooling","Bobbin Gripper Right","F03C.B59.211","-","3292041300","-","Assembly Sta. Bobbin Gripper Right"
"310","Tooling","Bobbin Gripper Left","F03C.B59.212","-","3292041310","-","Assembly Sta. Bobbin Gripper Left"
"311","Tooling","Yoke Gripper","F03C.B59.213","-","4292041320","-","Assembly Sta. Yoke Gripper"
"312","Tooling","Reject Gripper 1","-","-","NU2508A00876","-","Reject / Resistance Gripper 1"
"313","Tooling","Reject Gripper 2","-","-","NU2508A00877","-","Reject / Resistance Gripper 2"
"314","Tooling","Term Insert Jaw F","F03C.F14.160","-","NU2468A01990","-","Terminal Insert Jaw Female"
"315","Tooling","Term Insert Jaw M","F03C.F14.159","-","NU2468A01989","-","Terminal Insert Jaw Male"
"900","Other","Contact Cleaner","F00H.A20.103","LPS","3116","-","CLEANER:CONTACT 11 OZ CAN,CFC-FR"
"901","Other","Purging Compound","F00H.A20.192","Bellex","ASA CLEN EG","-","Purging Compound"
"902","Other","Stand. Alan Pack","F03C.B40.494","Bondhus","-","-","Stand. Alan Pack"
"903","Other","Metric Alan Pack","F03C.B40.493","Bondhus","-","-","Metric Alan Pack"
"904","Other","Metric Alan Pack (small)","F03C.B50.956","Count On Tool","WZG00032","-","Metric Alan Pack (small)"
"905","Other","X-Acto Knife","F03C.B43.732","X-Acto","HUNX3001","-","X-Acto Knife"
